first,orphan,fastTrack,breakthrough,priority,accelerated,initClinicalStudy,nctDate,therapeuticClass,substanceClass,moleculeType,name,ingredients,dateString,use,disease,modeOfAction,innovation,bla,press,trials,unii,pharmacology,target
1,1,,1,1,,2011,5/4/11,Hematology,protein,antibody,Adakveo,crizanlizumab,11/15/2019,To treat patients with painful complication of sickle cell disease,complication of sickle cell disease,antibody-drug binds to P-selectin and blocks its interaction with PSGL-1 on neutrophils and monocytes which inhibits platelet aggregation and helps to maintain normal blood flow and avoids sickle cell-related pain crises (SCPC),,761128,https://www.fda.gov/news-events/press-announcements/fda-approves-first-targeted-therapy-treat-patients-painful-complication-sickle-cell-disease,,L7451S9126,Inhibitor,P-selectin
,,,,1,,2013,4/11/13,Infectious disease,chemical,small molecule,Fetroja,cefiderocol,11/14/2019,To treat patients with complicated urinary tract infections who have limited or no alternative treatment options,urinary tract infections,siderophore cephalosporin inhibiting cell wall synthesis by targeting penicillin-binding proteins,,209445,https://www.fda.gov/news-events/press-announcements/fda-approves-new-antibacterial-drug-treat-complicated-urinary-tract-infections-part-ongoing-efforts,,SZ34OMG6E8,Inhibitor,penicillin-binding proteins
,1,,1,1,1,2014,9/10/14,Oncology,chemical,small molecule,Brukinsa,zanubrutinib,11/14/2019,To treat certain patients with mantle cell lymphoma which is a form of blood cancer,mantle cell lymphoma,inhibitor of Bruton’s tyrosine kinase,,213217,https://www.fda.gov/news-events/press-announcements/fda-approves-therapy-treat-patients-relapsed-and-refractory-mantle-cell-lymphoma-supported-clinical,,AG9MHG098Z,Inhibitor,Bruton’s tyrosine kinase
1,1,1,,1,,2011,9/13/11,Hematology,protein,antibody,Reblozyl,luspatercept,11/8/2019,For the treatment of anemia in adult patients with beta thalassemia who require regular red blood cell transfusions,anemia associated with beta thalassemia,recombinant fusion protein that binds several endogenous TGF-β superfamily ligands thereby diminishing Smad2/3 signaling.,,761136,https://www.fda.gov/news-events/press-announcements/fda-approves-first-therapy-treat-patients-rare-blood-disorder,,AQK7UBA1LS,Binding agent,Transforming growth factor-β superfamily proteins
,1,1,1,1,,2017,3/1/2017,Respiratory,chemical,small molecule,Trikafta,elexacaftor,10/21/2019,To treat patients 12 years of age and older with the most common gene mutation that causes cystic fibrosis,cystic fibrosis,Elexacaftor and tezacaftor bind to different sites on the cystic fibrosis transmembrane conductance regulator (CFTR) protein and have an additive effect in facilitating the cellular processing and trafficking of F508del-CFTR to increase the amount of CFTR protein delivered to the cell surface compared to either molecule alone.,new breakthrough therapy for cystic fibrosis,212273,https://www.fda.gov/news-events/press-announcements/fda-approves-new-breakthrough-therapy-cystic-fibrosis,,RRN67GMB0V,Binding agent,cystic fibrosis transmembrane conductance regulator (CFTR)
1,,,,,,2006,10/6/2006,Neurology,chemical,small molecule,Reyvow,lasmiditan,10/11/2019,"For the acute treatment of migraine with or without aura, in adults",migraine,"Lasmiditan binds with high affinity to the serotonin (5-HT) 1F receptor. Lasmiditan presumably exerts its therapeutic effects in the treatment of migraine through agonist effects at the 5-HT1F receptor; however, the precise mechanism is unknown. ",,211280,https://www.fda.gov/news-events/press-announcements/fda-approves-new-treatment-patients-migraine,,760I9WM792,Agonist,serotonin (5-HT) 1F receptor
,,,,,,2000,3/3/2000,Neurology,chemical,small molecule,Fluorodopa F 18,fluorodopa F-18,10/10/2019,A diagnostic agent for use in positron emission tomography (PET) to help diagnose adult patients with suspected Parkinsonian syndromes (PS),Parkinsonian syndromes diagnostic,Fluorodopa (FDOPA) F 18 is decarboxylated by amino acid decarboxylase to Fluorodopamine (FDA) F 18 and stored in presynaptic vesicles in the brain. The accumulation of F 18 FDA in the striatum is visually detected in the PET scan.,,200655,,https://www.fda.gov/drugs/drug-trials-snapshots-fluorodopa-f-18,2C598205QX,Substrate,amino acid decarboxylase
1,1,,,,,2005,10/19/2005,Dermatology,chemical,peptide,Scenesse,afamelanotide,10/8/2019,To increase pain-free light exposure in adult patients with a history of phototoxic reactions (damage to skin) from erythropoietic protoporphyria,erythropoietic protoporphyria,Afamelanotide is a melanocortin receptor agonist and binds predominantly to melanocortin 1 receptor.,first treatment to help erythropoietic protoporphyria patients increase their light exposure,210797,https://www.fda.gov/news-events/press-announcements/fda-approves-first-treatment-increase-pain-free-light-exposure-patients-rare-disorder,https://www.fda.gov/drugs/resources-information-approved-drugs/drug-trials-snapshots-scenesse,QW68W3J66U,Agonist,melanocortin 1 receptor
1,,,,,,2011,5/1/2011,Opthamology,protein,antibody,Beovu,brolucizumab,10/7/2019,Treatment of wet age-related macular degeneration,age-related macular degeneration,"Brolucizumab is a human vascular endothelial growth factor (VEGF) inhibitor. Brolucizumab binds to the three major isoforms of VEGF-A (e.g., VEGF110, VEGF121, and VEGF165), thereby preventing interaction with receptors VEGFR-1 and VEGFR-2. By inhibiting VEGF-A, brolucizumab suppresses endothelial cell proliferation, neovascularization, and vascular permeability.",,761125,,https://www.fda.gov/drugs/development-approval-process-drugs/drug-trials-snapshots-beovu,XSZ53G39H5,Inhibitor,vascular endothelial growth factor (VEGF)
1,,,,,,2012,6/12/2012,Dermatology,chemical,small molecule,Aklief,trifarotene,10/4/2019,For the topical treatment of acne vulgaris in patients 9 years of age and older,acne vulgaris,"Trifarotene is an agonist of retinoic acid receptors (RAR), with particular activity at the gamma subtype of RAR.",first retinoid treatment to be approved by the FDA in over 20 years.,211527,,https://www.fda.gov/drugs/resources-information-approved-drugs/drug-trials-snapshots-aklief,0J8RN2W0HK,Agonist,gamma subtype of retinoic acid receptor
,,,,,,2011,4/1/2011,Gastroenterology,chemical,small molecule,Ibsrela,tenapanor,9/12/2019,To treat irritable bowel syndrome with constipation in adults.,irritable bowel syndrome with constipation,"Tenapanor is a locally acting inhibitor of the sodium/hydrogen exchanger 3 (NHE3), an antiporter expressed on the apical surface of the small intestine and colon primarily responsible for the absorption of dietary sodium.",,211801,,https://www.fda.gov/drugs/drug-trials-snapshots-ibsrela,WYD79216A6,Inhibitor,sodium/hydrogen exchanger 3 (NHE3)
,,,,,,1999,9/1/1999,Neurology,chemical,small molecule,Nourianz,istradefylline,8/27/2019,To treat adult patients with Parkinson's disease experiencing off episodes,Parkinson's disease,"The precise mechanism by which istradefylline exerts its therapeutic effect in Parkinson disease is unknown. In in vitro studies and in in vivo animal studies, istradefylline was demonstrated to be an adenosine A2A receptor antagonist.",,22075,https://www.fda.gov/news-events/press-announcements/fda-approves-new-add-drug-treat-episodes-adults-parkinsons-disease,https://www.fda.gov/drugs/drug-trials-snapshots-nourianz,2GZ0LIK7T4,Antagonist,adenosine A2A receptor
,1,,,,,2001,11/27/2011,Oncology,chemical,peptide,Ga 68 DOTATOC,edotreotide gallium Ga-68,8/21/2019,For use with positron emission tomography (PET) for localization of somatostatin receptor positive neuroendocrine tumors (NETs),neuroendocrine tumor diagnostic,"Edotreotide gallium Ga-68 binds to somatostatin receptors, with higher affinity for somatostatin receptor type 2, where it emits beta particle radiation for detection by positron emission tomography (PET)",,210828,,https://www.fda.gov/drugs/drug-trials-snapshots-ga-68-dotatoc,Y68179SY2L,Binding agent,somatostatin receptor type 2
1,,,,1,,2009,7/23/2009,Infectious disease,chemical,small molecule,Xenleta,lefamulin,8/19/2019,To treat adults with community-acquired bacterial pneumonia,community-acquired bacterial pneumonia,"It inhibits bacterial protein synthesis through interactions (hydrogen bonds, hydrophobic interactions, and Van der Waals forces) with the A- and P-sites of the peptidyl transferase center (PTC) in domain V of the 23s rRNA of the 50S subunit. The binding pocket of the bacterial ribosome closes around the mutilin core for an induced fit that prevents correct positioning of tRNA.",Xenleta received Qualified Infectious Disease Product (QIDP) designation.,211672,https://www.fda.gov/news-events/press-announcements/fda-approves-new-antibiotic-treat-community-acquired-bacterial-pneumonia,https://www.fda.gov/drugs/resources-information-approved-drugs/drug-trials-snapshots-xenleta,21904A5386,Binding agent,23s rRNA of the 50S subunit
,,,,1,,2012,12/5/2012,Rheumatology,chemical,small molecule,Rinvoq,upadacitinib,8/16/2019,To treat adults with moderately to severely active rheumatoid arthritis,rheumatoid arthritis,Janus kinase (JAK) inhibitor.,,211675,,https://www.fda.gov/drugs/resources-information-approved-drugs/drug-trials-snapshots-rinvoq,4RA0KN46E0,Inhibitor,Janus kinase (JAK)
1,1,,,1,,2008,3/7/2008,Oncology,chemical,small molecule,Inrebic,fedratinib,8/16/2019,To treat adult patients with intermediate-2 or high-risk primary or secondary myelofibrosis,myelofibrosis,A kinase inhibitor with activity against wild type and mutationally activated Janus Associated Kinase 2 (JAK2) and FMS-like tyrosine kinase 3 (FLT3),,212327,https://www.fda.gov/news-events/press-announcements/fda-approves-treatment-patients-rare-bone-marrow-disorder,https://www.fda.gov/drugs/resources-information-approved-drugs/drug-trials-snapshots-inrebic,6L1XP550I6,Inhibitor,Janus Associated Kinase 2 (JAK2) | FMS-like tyrosine kinase 3 (FLT3)
,1,,1,1,1,2014,3/27/2014,Oncology,chemical,small molecule,Rozlytrek,entrectinib,8/15/2019,To treat adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are ROS1-positive,non-small cell lung cancer,"An inhibitor of the tropomyosin receptor tyrosine kinases, proto-oncogene tyrosine-protein kinase ROS1 (ROS1), and anaplastic lymphoma kinase (ALK). ",,212725,https://www.fda.gov/news-events/press-announcements/fda-approves-third-oncology-drug-targets-key-genetic-driver-cancer-rather-specific-type-tumor,https://www.fda.gov/drugs/drug-trials-snapshots-rozlytrek-0 | https://www.fda.gov/drugs/drug-trials-snapshots-rozlytrek,L5ORF0AN1I,Inhibitor,neurotrophic tyrosine receptor kinases
1,1,,,,,2008,3/25/2008,Psychiatry,chemical,small molecule,Wakix,pitolisant,8/14/2019,To treat excessive daytime sleepiness (EDS) in adult patients with narcolepsy,sleep disorder,"The mechanism of action of pitolisant in excessive daytime sleepiness (EDS) in adult patients with narcolepsy is unclear. However, its efficacy could be mediated through its activity as an antagonist/inverse agonist at histamine-3 (H3) receptors.",,21115,,https://www.fda.gov/drugs/resources-information-approved-drugs/drug-trials-snapshots-wakix,4BC83L4PIY,Inverse Agonist,histamine-3 (H3) receptors
,1,,,1,,2005,6/14/2005,Infectious disease,chemical,small molecule,Pretomanid,pretomanid,8/14/2019,For treatment-resistant forms of tuberculosis that affects the lungs,tuberculosis,"Pretomanid kills actively replicating M. tuberculosis by inhibiting mycolic acid biosynthesis, thereby blocking cell wall production.",only the third TB drug approved by the FDA in more than 50 years,212862,https://www.fda.gov/news-events/press-announcements/fda-approves-new-drug-treatment-resistant-forms-tuberculosis-affects-lungs,https://www.fda.gov/drugs/development-approval-process-drugs/drug-trials-snapshots-pretomanid,2XOI31YC4N,Inhibitor,mycolic acid biosynthesis
,1,,1,1,,2012,2/3/2012,Oncology,chemical,small molecule,Turalio,pexidartinib,8/2/2019,To treat adult patients with symptomatic tenosynovial giant cell tumor,symptomatic tenosynovial giant cell tumor,"A small molecule tyrosine kinase inhibitor that targets colony stimulating factor 1 receptor (CSF1R), KIT proto-oncogene receptor tyrosine kinase (KIT), and FMS-like tyrosine kinase 3 (FLT3) harboring an internal tandem duplication (ITD) mutation.",,211810,https://www.fda.gov/news-events/press-announcements/fda-approves-first-therapy-rare-joint-tumor,https://www.fda.gov/drugs/resources-information-approved-drugs/drug-trials-snapshots-turalio,6783M2LV5X,Inhibitor,colony stimulating factor 1 receptor | KIT proto-oncogene receptor tyrosine kinase | FMS-like tyrosine kinase 3
,,,,1,,2011,3/17/2011,Oncology,chemical,small molecule,Nubeqa,darolutamide,7/30/2019,To treat adult patients with non-metastatic castration resistant prostate cancer,castration-resistant prostate cancer,"Darolutamide competitively inhibits androgen binding, androgen receptor (AR) nuclear translocation, and AR-mediated transcription. In addition, darolutamide functioned as a progesterone receptor (PR) antagonist in vitro (approximately 1% activity compared to AR).",,212099,,https://www.fda.gov/drugs/drug-trials-snapshots-nubeqa,X05U0N2RCO,Inhibitor,androgen receptor
,,,,,,2011,8/1/2011,Hematology,chemical,small molecule,Accrufer,ferric maltol,7/25/2019,To treat iron deficiency anemia in adults,iron deficiency,ACCRUFER delivers iron for uptake across the intestinal wall and transfer to transferrin and ferritin.,,212320,,https://www.fda.gov/drugs/drug-safety-and-availability/drug-trials-snapshots-accrufer,MA10QYF1Z0,Supplement,iron
,,1,,1,,2011,1/12/2011,Infectious disease,chemical,small molecule,Recarbrio,relebactam,7/16/2019,To treat complicated urinary tract and complicated intra-abdominal infections,urinary tract infections,"Relebactam has no intrinsic antibacterial activity. Relebactam protects imipenem from degradation by certain serine beta lactamases such as Sulhydryl Variable (SHV), Temoneira (TEM), Cefotaximase-Munich (CTX-M), Enterobacter cloacae P99 (P99), Pseudomonas-derived cephalosporinase (PDC), and Klebsiella-pneumoniae carbapenemase (KPC).",,212819,https://www.fda.gov/news-events/press-announcements/fda-approves-new-treatment-complicated-urinary-tract-and-complicated-intra-abdominal-infections,https://www.fda.gov/drugs/resources-information-approved-drugs/drug-trial-snapshot-recarbrio,Y1MYA2UHFL,Inhibitor,beta lactamases
1,1,1,,1,1,2012,5/30/2012,Oncology,chemical,small molecule,Xpovio,selinexor,7/3/2019,To treat adult patients with relapsed or refractory multiple myeloma (RRMM),multiple myeloma,"Selinexor reversibly inhibits nuclear export of tumor suppressor proteins (TSPs), growth regulators, and mRNAs of oncogenic proteins by blocking exportin 1 (XPO1).",,212306,https://www.fda.gov/news-events/press-announcements/fda-approves-new-treatment-refractory-multiple-myeloma,https://www.fda.gov/drugs/drug-trials-snapshots-xpovio,31TZ62FO8F,Blocker,exportin 1 (XPO1)
1,,,,,,2001,2/1/2001,Endocrinology,chemical,peptide,Vyleesi,bremelanotide,6/21/2019,To treat hypoactive sexual desire disorder in premenopausal women.,hypoactive sexual desire disorder,"Bremelanotide is a melanocortin receptor (MCR) agonist that nonselectively activates several receptor subtypes with the following order of potency: MC1R, MC4R, MC3R, MC5R, MC2R. At therapeutic dose levels, binding to MC1R and MC4R is most relevant.",,210557,https://www.fda.gov/news-events/press-announcements/fda-approves-new-treatment-hypoactive-sexual-desire-disorder-premenopausal-women,https://www.fda.gov/drugs/drug-safety-and-availability/drug-trials-snapshots-vyleesi,PV2WI7495P,Agonist,melanocortin receptors including MC4R
1,1,,1,1,1,2011,2/7/2011,Oncology,protein,antibody,Polivy,polatuzumab vedotin,6/10/2019,To treat adult patients with relapsed or refractory diffuse large B-cell lymphoma,diffuse large B-cell lymphoma,"The small molecule, MMAE is an anti-mitotic agent covalently attached to the antibody via a cleavable linker. The monoclonal antibody binds to CD79b, a B-cell specific surface protein, which is a component of the B-cell receptor. Upon binding CD79b, polatuzumab vedotin-piiq is internalized, and the linker is cleaved by lysosomal proteases to enable intracellular delivery of MMAE. MMAE binds to microtubules and kills dividing cells by inhibiting cell division and inducing apoptosis.",first chemoimmunotherapy regimen for patients with relapsed or refractory diffuse large B-cell lymphoma,761121,https://www.fda.gov/news-events/press-announcements/fda-approves-first-chemoimmunotherapy-regimen-patients-relapsed-or-refractory-diffuse-large-b-cell,https://www.fda.gov/drugs/drug-approvals-and-databases/drug-trials-snapshots-polivy,KG6VO684Z6,Cytotoxic,microtubules
1,1,1,1,1,,2017,10/11/2017,Neurology,gene therapy,virus,Zolgensma,onasemnogene abeparvovec,5/24/2019,To treat pediatric patients less than two years of age with spinal muscular atrophy (SMA) with bi-allelic mutations in the survival motor neuron 1 (SMN1) gene.,spinal muscular atrophy,"A recombinant AAV9-based gene therapy designed to deliver a copy of the gene encoding the human survival motor neuron 1 (SMN1) protein. SMA is caused by a bi-allelic mutation in the SMN1 gene, which results in insufficient SMN protein expression.",innovative gene therapy to treat pediatric patients with spinal muscular atrophy,125694,https://www.fda.gov/news-events/press-announcements/fda-approves-innovative-gene-therapy-treat-pediatric-patients-spinal-muscular-atrophy-rare-disease,,MLU3LU3EVV,Gene therapy,survival motor neuron 1
1,,,,1,,2010,1/13/2010,Oncology,chemical,small molecule,Piqray,alpelisib,5/24/2019,To treat breast cancer,advanced or metastatic breast cancer,Alpelisib is an inhibitor of phosphatidylinositol-3-kinase (PI3K) with inhibitory activity predominantly against PI3K_.,first PI3K inhibitor for breast cancer,212526,https://www.fda.gov/news-events/press-announcements/fda-approves-first-pi3k-inhibitor-breast-cancer,https://www.fda.gov/drugs/drug-trials-snapshots-piqray,08W5N2C97Q,Inhibitor,"phosphatidylinositol-3-kinases, predominantly PI3K_"
1,1,1,1,1,,2006,12/8/2006,Cardiology,chemical,small molecule,Vyndaqel,tafamidis meglumine,5/3/2019,To treat heart disease (cardiomyopathy) caused by transthyretin mediated amyloidosis (ATTR-CM) in adults,transthyretin amyloid cardiomyopathy,"Tafamidis is a selective stabilizer of transthyretin (TTR). Tafamidis binds to TTR at the thyroxine binding sites, stabilizing the tetramer and slowing dissociation into monomers, the rate-limiting step in the amyloidogenic process.",,211996,https://www.fda.gov/news-events/press-announcements/fda-approves-new-treatments-heart-disease-caused-serious-rare-disease-transthyretin-mediated,https://www.fda.gov/drugs/resources-information-approved-drugs/drug-trial-snapshots-vyndaqelvyndamax,ZU7CF08A1A,Stabiliser,transthyretin
,,,,,,2012,4/16/2012,Dermatology,protein,antibody,Skyrizi,risankizumab,4/23/2019,To treat moderate-to-severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy,plaque psoriasis,Risankizumab-rzaa selectively binds to the p19 subunit of human interleukin 23 (IL-23) cytokine and inhibits its interaction with the IL-23 receptor. Risankizumab-rzaa inhibits the release of pro-inflammatory cytokines and chemokines.,,761105,,https://www.fda.gov/drugs/drug-trials-snapshots-skyrizi,90ZX3Q3FR7,Antibody,p19 subunit of human interleukin 23
,,,1,1,1,2012,10/10/2012,Oncology,chemical,small molecule,Balversa,erdafitinib,4/12/2019,To treat adult patients with locally advanced or metastatic bladder cancer,urothelial carcinoma,"Erdafitinib is a kinase inhibitor that binds to and inhibits enzymatic activity of FGFR1, FGFR2, FGFR3 and FGFR4 based on in vitro data. Erdafitinib also binds to RET, CSF1R, PDGFRA, PDGFRB, FLT4, KIT, and VEGFR2.",first targeted therapy for metastatic bladder cancer,212018,https://www.fda.gov/news-events/press-announcements/fda-approves-first-targeted-therapy-metastatic-bladder-cancer,https://www.fda.gov/drugs/drug-trials-snapshots-balversa,890E37NHMV,Inhibitor,"fibroblast growth factor receptors 1,2,3,4"
,,,,,,2009,8/3/2009,Osteology,protein,antibody,Evenity,romosozumab,4/9/2019,To treat osteoporosis in postmenopausal women at high risk of fracture,osteoporosis in postmenopausal women,"Evenity inhibits the action of sclerostin, a regulatory factor in bone metabolism. Evenity increases bone formation and, to a lesser extent, decreases bone resorption.",,761062,https://www.fda.gov/news-events/press-announcements/fda-approves-new-treatment-osteoporosis-postmenopausal-women-high-risk-fracture,https://www.fda.gov/drugs/resources-information-approved-drugs/drug-trials-snapshot-evenity,3VHF2ZD92J,Inhibitor,sclerostin
,,,,1,,2007,1/15/2007,Neurology,chemical,small molecule,Mayzent,siponimod,3/26/2019,To treat adults with relapsing forms of multiple sclerosis,multiple sclerosis,"Siponimod is a sphingosine-1-phosphate (S1P) receptor modulator. Siponimod blocks the capacity of lymphocytes to egress from lymph nodes, reducing the number of lymphocytes in peripheral blood. The mechanism by which siponimod exerts therapeutic effects in multiple sclerosis is unknown, but may involve reduction of lymphocyte migration into the central nervous system.",,209884,https://www.fda.gov/news-events/press-announcements/fda-approves-new-oral-drug-treat-multiple-sclerosis,https://www.fda.gov/drugs/drug-safety-and-availability/drug-trials-snapshots-mayzent,RR6P8L282I,Modulator,S1P receptors 1 and 5
,1,,,,,2011,12/6/2011,Neurology,chemical,small molecule,Sunosi,solriamfetol,3/20/2019,To treat excessive sleepiness in adult patients with narcolepsy or obstructive sleep apnea,excessive daytime sleepiness,Sunosi is a dopamine and norepinephrine reuptake inhibitor (DNRI).,,211230,,https://www.fda.gov/drugs/drug-trials-snapshots-sunosi,939U7C91AI,Inhibitor,dopamine and norepinephrine reuptake
1,,,1,1,,2014,2/3/2014,Neurology,chemical,small molecule,Zulresso,brexanolone,3/19/2019,To treat postpartum depression (PPD) in adult women,postpartum depression,"The mechanism of action of brexanolone in the treatment of PPD in adults is not fully understood, but is thought to be related to its positive allosteric modulation of GABAa receptors.",first treatment for post-partum depression,211371,https://www.fda.gov/news-events/press-announcements/fda-approves-first-treatment-post-partum-depression,https://www.fda.gov/drugs/drug-approvals-and-databases/drug-trials-snapshots-zulresso,S39XZ5QV8Y,Modulator,GABAa receptors
1,1,1,,1,,2012,11/7/2012,Infectious disease,chemical,small molecule,Egaten,triclabendazole,2/13/2019,"To treat fascioliasis, a parasitic infestation caused by two species of flatworms or trematodes that mainly the affect the liver, sometimes referred to as 'liver flukes'",fascioliasis,"Triclabendazole and its active metabolites (sulfoxide and sulfone) are absorbed by the tegument of the immature and mature worms, leading to a decrease of the resting membrane potential, inhibition of tubulin function as well as protein and enzyme synthesis.",,208711,,https://www.fda.gov/drugs/drug-trials-snapshots-egaten,4784C8E03O,Inhibitor,"tubulin function, protein and enzyme synthesis"
1,1,1,,1,,2010,6/28/2010,Hematology,protein,antibody,Cablivi,caplacizumab,2/6/2019,To treat adult patients with acquired thrombotic thrombocytopenic purpura (aTTP),acquired thrombotic thrombocytopenic purpura,"Caplacizumab-yhdp targets the A1-domain of a von Willebrand factor, and inhibits the interaction between vWF and platelets, thereby reducing both vWF-mediated platelet adhesion and platelet consumption.",first therapy for the treatment of adult patients with a rare blood clotting disorder,761112,https://www.fda.gov/news-events/press-announcements/fda-approves-first-therapy-treatment-adult-patients-rare-blood-clotting-disorder,https://www.fda.gov/drugs/drug-approvals-and-databases/drug-trials-snapshot-cablivi https://www.fda.gov/drugs/drug-trials-snapshots-cablivi,2R27AB6766,Antibody,von Willebrand factor
,,,,,,2012,6/28/2012,Dermatology,protein,protein,Jeuveau,botulinum toxin type A,2/1/2019,For the temporary improvement in the appearance of moderate to severe glabellar lines associated with corrugator and/or procerus muscle activity in adult patients,improve the look of moderate to severe frown lines,"Jeuveau blocks neuromuscular transmission by binding to acceptor sites on motor nerve terminals, entering the nerve terminals, and inhibiting the release of acetylcholine. This inhibition occurs as the neurotoxin leaves SNAP-25, a protein integral to the successful docking and release of acetylcholine from vesicles situated within nerve endings.",,761085,,,E211KPY694,Inhibitor,synaptosome associated protein 25
1,1,,1,1,,2006,11/9/2006,Oncology,protein,protein,Elzonris,tagraxofusp,12/21/2018,To treat blastic plasmacytoid dendritic cell neoplasm (BPDCN),blastic plasmacytoid dendritic cell neoplasm,IL-3 conjugated truncated diphtheria toxin,,761116,ucm629020,ucm629282,8ZHS5657EH,Inhibitor,ADP-ribosylation elongation factor 2
,1,,,1,,2014,11/6/2015,Hematology,protein,antibody,Ultomiris,ravulizumab,12/21/2018,To treat paroxysmal nocturnal hemoglobinuria (PNH),paroxysmal nocturnal hemoglobinuria,Complement component 5 cleavage inhibitor,,761108,ucm629022,ucm629444,C3VX249T6L,Inhibitor,Complement component 5
,1,,,,,2008,5/2/2008,Oncology,protein,enzyme,Asparlas,calaspargase pegol,12/20/2018,To treat acute lymphoblastic leukemia (ALL) in pediatric and young adult patients age 1 month to 21 years,acute lymphoblastic leukemia,E. coli L-asparaginase,,761102,,ucm629352,T9FVH03HMZ,Enzyme,E. coli L-asparaginase
,,,,,,1997,,Endocrinology,chemical,small molecule,Motegrity,prucalopride,12/14/2018,To treat chronic idiopathic constipation,constipation,5-HT4 receptor agonist,,210166,,ucm629124,0A09IUW5TP,Agonist,5-HT4 receptor
,1,,1,1,,2011,6/22/2011,Rheumatology,chemical,small molecule,Firdapse,amifampridine,11/28/2018,To treat Lambert-Eaton myasthenic syndrome (LEMS) in adults,Lambert-Eaton myasthenic syndrome,KCNA1 potassium channel blocker,,208078,ucm627093,,RU4S6E2G0J,Blocker,KCNA1
,1,1,,1,,2013,10/9/2013,Oncology,chemical,small molecule,Xospata,gilteritinib,11/28/2018,To treat patients who have relapsed or refractory acute myeloid leukemia (AML),acute myeloid leukemia,FLT3 kinase inhibitor,,211349,ucm627072,,66D92MGC8M,Inhibitor,FLT3
